"ResortName","FullCoordinates","Longitude","Latitude","BackupLongitude","Field4"
"Easton Ski Area",,,,"42°32′19″N","72°35′38″W"
"Jiminy Peak (ski area)",,,,"42°33′03″N","73°17′27″W"
"Nashoba Valley Ski Area","42.5419750°N 71.4441028°W","42.5419750","71.4441028","42°32′31.11″N","71°26′38.77″W"
"Otis Ridge",,,,"42°11′47″N","73°05′56″W"
"Ski Bradford",,,,"42°44′37″N","71°03′32″W"
"Ski Ward","42.30556°N 71.67500°W","42.30556","71.67500","42°18′20″N","71°40′30″W"
"Wachusett Mountain (ski area)",,,,"42°29′58″N","71°53′11″W"
"Arrowhead Recreation Area",,,,"43°21′46″N","72°20′00″W"
"Attitash Mountain Resort","44.08222°N 71.22972°W","44.08222","71.22972","44°04′56″N","71°13′47″W"
"Black Mountain Ski Area (New Hampshire)","44.16833°N 71.16444°W","44.16833","71.16444","44°10′6″N","71°9′52″W"
"Bretton Woods Mountain Resort",,,,"44°15′35″N","71°27′44″W"
"Cannon Mountain Ski Area",,,,"44°09′28″N","71°41′56″W"
"Cranmore Mountain Resort",,,,"44°03′23″N","71°06′36″W"
"Crotched Mountain","42.998294108°N 71.873712297°W","42.998294108","71.873712297","42°59′54″N","71°52′25″W"
"Dartmouth Skiway",,,,"43°47′12″N","72°26′2″W"
"Granite Gorge Ski Area","42.97083°N 72.21222°W","42.97083","72.21222","42°58′15″N","72°12′44″W"
"Gunstock Mountain Resort",,,,"43°32′29″N","71°22′03″W"
"King Pine",,,,"43°52′17″N","71°05′22″W"
"Loon Mountain",,,,"44°02′09″N","71°37′17″W"
"McIntyre Ski Area",,,,"43°0′18″N","71°26′24″W"
"Mount Sunapee Resort",,,,"43°19′50″N","72°04′48″W"
"Pats Peak",,,,"43°09′48″N","71°47′45″W"
"Ragged Mountain Resort",,,,"43°29′04″N","71°50′32″W"
"Tenney Mountain Ski Resort","43.73778°N 71.78361°W","43.73778","71.78361","43°44′16″N","71°47′01″W"
"The Balsams Grand Resort Hotel",,,,"44°52′14″N","71°18′28″W"
"Waterville Valley Resort",,,,"43°57′55″N","71°31′40″W"
"Whaleback (ski area)",,,,"43°36′05″N","72°10′53″W"
"Wildcat Mountain Ski Area","44.26306°N 71.23833°W","44.26306","71.23833","44°15′47″N","71°14′18″W"
"Yawgoo Valley",,,,"41°31′01″N","71°31′46″W"
"Bolton Valley",,,,"44°25′11″N","72°51′00″W"
"Bromley Mountain","43.22778°N 72.93861°W","43.22778","72.93861","43°13′40″N","72°56′19″W"
"Burke Mountain (Vermont)",,,,"44°34.25′N","71°53.59′W"
"Skiing Cochrans",,,,"44°23′46″N","72°58′55″W"
"Jay Peak Resort","44.92944°N 72.53222°W","44.92944","72.53222","44°55′46″N","72°31′56″W"
"Killington Ski Resort",,,,"43°37′34″N","72°47′53″W"
"Mad River Glen","44.20083°N 72.92444°W","44.20083","72.92444","44°12′03″N","72°55′28″W"
"Middlebury College Snow Bowl","43.94°N 72.96°W","43.94","72.96","43°56′N","72°58′W"
"Mount Snow","42.959835°N 72.922161°W","42.959835","72.922161","42°57′35″N","72°55′20″W"
"Okemo Mountain",,,,"43°24′5″N","72°43′0″W"
"Pico Mountain",,,,"43°39′42″N","72°50′33″W"
"Plymouth Notch, Vermont",,,,"43°31′48″N","72°44′20″W"
"Quechee Ski Area",,,,"43°39′26″N","72°26′35″W"
"Smugglers' Notch Resort",,,,"44°34′22″N","72°46′34″W"
"Stowe Mountain Resort",,,,"44°31′55″N","72°47′15″W"
"Stratton Mountain Resort",,,,"43°06′51″N","72°54′24″W"
"Sugarbush Resort","44.135098°N 72.885962°W","44.135098","72.885962","44°08′06″N","72°53′09″W"
"Suicide Six",,,,"43°39′50″N","72°32′40″W"
"Wisp Ski Resort",,,,"39°33′29″N","79°21′47″W"
"Big Snow American Dream","40.81111°N 74.07000°W","40.81111","74.07000","40°48′40″N","74°04′12″W"
"Campgaw Mountain","41.0542633°N 74.1993123°W","41.0542633","74.1993123","41°03′15″N","74°11′58″W"
"Hidden Valley (New Jersey)","41.1856000°N 74.4806000°W","41.1856000","74.4806000","41°11′8.16″N","74°28′50.16″W"
"Mountain Creek","41.181°N 74.513°W","41.181","74.513","41°10′52″N","74°30′47″W"
"Belleayre Ski Center","42.1422139°N 74.510778°E","42.1422139",,"42°8′31.97″N","74°30′38.8″E"
"Bristol Mountain Ski Resort","42.745°N 77.404444°W","42.745","77.404444","42°44′42″N","77°24′16″W"
"Catamount Ski Area",,,,"42°10′17″N","73°28′40″W"
"Gore Mountain (ski resort)","43.67222°N 74.00694°W","43.67222","74.00694","43°40′20″N","74°00′25″W"
"Greek Peak Mountain Resort",,,,"42°30′31″N","76°08′46″W"
"Holiday Valley (ski resort)","42.26250°N 78.66806°W","42.26250","78.66806","42°15′45″N","78°40′5″W"
"Hunter Mountain (ski area)",,,,"42°12′01″N","74°13′49″W"
"McCauley Mountain (New York)","43.6925676°N 74.9612837°W","43.6925676","74.9612837","43°41′33″N","74°57′41″W"
"Peek'n Peak","42.06250°N 79.73667°W","42.06250","79.73667","42°3′45″N","79°44′12″W"
"Plattekill Mountain",,,,"42°17′25″N","74°39′13″W"
"Thunder Ridge Ski Area",,,,"41°30′26″N","73°34′52″W"
"Titus Mountain",,,,"44°45′48″N","74°14′07″W"
"West Mountain (ski area)","43.28556°N 73.72833°W","43.28556","73.72833","43°17′8″N","73°43′42″W"
"Whiteface Mountain","44.36583°N 73.90278°W","44.36583","73.90278","44°21′57″N","73°54′10″W"
"Windham Mountain",,,,"42°17′30″N","74°15′34″W"
"Bear Creek Ski and Recreation Area","40.47611°N 75.62583°W","40.47611","75.62583","40°28′34″N","75°37′33″W"
"Blue Mountain Resort","40.82222°N 75.51333°W","40.82222","75.51333","40°49′20″N","75°30′48″W"
"Boyce Park","40.46556°N 79.74528°W","40.46556","79.74528","40°27′56″N","79°44′43″W"
"Camelback Mountain Resort",,,,"41°03′05″N","75°21′19″W"
"Elk Mountain Ski Area","41.721°N 75.559°W","41.721","75.559","41°43′16″N","75°33′32″W"
"Hidden Valley Resort (Pennsylvania)","40.058042°N 79.258277°W","40.058042","79.258277","40°03′29″N","79°15′30″W"
"Jack Frost Ski Resort",,,,"41°06′40″N","75°39′07″W"
"Laurel Mountain Ski Resort",,,,,
"Liberty Mountain Resort","39.763500°N 77.37500°W","39.763500","77.37500","39°45′48.6″N","77°22′30″W"
"Mount Pleasant of Edinboro",,,,"41°51′04″N","80°04′13″W"
"Seven Springs Mountain Resort",,,,"40°1′23″N","79°17′34″W"
"Shawnee Mountain Ski Area","41.04083°N 75.08333°W","41.04083","75.08333","41°2′27″N","75°5′0″W"
"Ski Big Bear",,,,"41°31′24″N","75°01′30″W"
"Roundtop Mountain Resort",,,,"40°06′29″N","76°55′34″W"
"Spring Mountain District AVA",,,,,
"Montage Mountain Ski Resort",,,,"41°21′12″N","75°39′33″W"
"Tussey Mountain Ski Area",,,,"40°46′06″N","77°45′07″W"
"Whitetail Ski Resort","39.74167°N 77.93278°W","39.74167","77.93278","39°44′30″N","77°55′58″W"
"Appalachian Ski Mountain","36.174°N 81.662°W","36.174","81.662","36°10′26″N","81°39′43″W"
"Cataloochee Ski Area","35.563°N 83.090°W","35.563","83.090","35°33′47″N","83°05′24″W"
"Wolf Ridge Ski Resort","35.955°N 82.509°W","35.955","82.509","35°57′18″N","82°30′32″W"
"Ober Gatlinburg",,,,"35°42′32″N","83°31′18″W"
"Bryce Resort","38.81750°N 78.76583°W","38.81750","78.76583","38°49′03″N","78°45′57″W"
"Massanutten Mountain",,,,"38°38′34.9″N","78°36′43.3″W"
"Mohawk Mountain Ski Area","41.83675°N 73.31342°W","41.83675","73.31342","41°50′12″N","73°18′48″W"
"Mount Southington","41.58235°N 72.92587°W","41.58235","72.92587","41°34′56″N","72°55′33″W"
"Powder Ridge Ski Area","41.502006°N 72.737172°W","41.502006","72.737172","41°30′07″N","72°44′14″W"
"Ski Sundown",,,,"41°53′03″N","72°56′43″W"
"Baker Mountain (ski area)","45.08472°N 69.90556°W","45.08472","69.90556","45°5′5″N","69°54′20″W"
"Big Rock (ski resort)",,,,"46°31′20″N","67°49′40″W"
"Big Squaw Mountain Resort",,,,"45°30′15″N","69°42′20″W"
"Black Mountain of Maine","44.58000°N 70.61750°W","44.58000","70.61750","44°34′48″N","70°37′3″W"
"Camden Snow Bowl","44.217216°N 69.134667°W","44.217216","69.134667","44°13′02″N","69°08′05″W"
"Eaton Mountain",,,,"44°46′5″N","69°37′10″W"
"Lonesome Pine Trails",,,,"47°13′58″N","68°35′35″W"
"Lost Valley Ski Area",,,,"44°08′10″N","70°16′52″W"
"Ski Mount Abram",,,,"44°22′45″N","70°42′25″W"
"Powderhouse Hill (ski area)",,,,"43°14′13″N","70°48′8″W"
"Saddleback Maine (ski resort)",,,,"44°56′12″N","070°30′11″W"
"Shawnee Peak Ski Area",,,,"44°3′30″N","70°48′55″W"
"Sugarloaf (ski resort)",,,,"45°01′53″N","70°18′47″W"
"Sunday River (ski resort)","44.46944°N 70.86111°W","44.46944","70.86111","44°28′10″N","70°51′40″W"
"Titcomb Mountain",,,,"44°39′0″N","70°10′15″W"
"Berkshire East Ski Resort",,,,"42°37′15″N","72°52′37″W"
"Blandford Ski Area",,,,"42°11′19.865″N","72°54′2.765″W"
"Blue Hills Ski Area",,,,"42°12′55″N","71°07′09″W"
"Bousquet Ski Area",,,,"42°24′58″N","73°16′45″W"
"Ski Butternut",,,,"42°10′41″N","73°19′01″W"
"Easton Ski Area",,,,"42°32′19″N","72°35′38″W"
"Jiminy Peak (ski area)",,,,"42°33′03″N","73°17′27″W"
"Nashoba Valley Ski Area","42.5419750°N 71.4441028°W","42.5419750","71.4441028","42°32′31.11″N","71°26′38.77″W"
"Otis Ridge",,,,"42°11′47″N","73°05′56″W"
"Ski Bradford",,,,"42°44′37″N","71°03′32″W"
"Ski Ward","42.30556°N 71.67500°W","42.30556","71.67500","42°18′20″N","71°40′30″W"
"Wachusett Mountain (ski area)",,,,"42°29′58″N","71°53′11″W"
"Arrowhead Recreation Area",,,,"43°21′46″N","72°20′00″W"
"Attitash Mountain Resort","44.08222°N 71.22972°W","44.08222","71.22972","44°04′56″N","71°13′47″W"
"Black Mountain Ski Area (New Hampshire)","44.16833°N 71.16444°W","44.16833","71.16444","44°10′6″N","71°9′52″W"
"Bretton Woods Mountain Resort",,,,"44°15′35″N","71°27′44″W"
"Cannon Mountain Ski Area",,,,"44°09′28″N","71°41′56″W"
"Cranmore Mountain Resort",,,,"44°03′23″N","71°06′36″W"
"Crotched Mountain","42.998294108°N 71.873712297°W","42.998294108","71.873712297","42°59′54″N","71°52′25″W"
"Dartmouth Skiway",,,,"43°47′12″N","72°26′2″W"
"Granite Gorge Ski Area","42.97083°N 72.21222°W","42.97083","72.21222","42°58′15″N","72°12′44″W"
"Gunstock Mountain Resort",,,,"43°32′29″N","71°22′03″W"
"King Pine",,,,"43°52′17″N","71°05′22″W"
"Loon Mountain",,,,"44°02′09″N","71°37′17″W"
"McIntyre Ski Area",,,,"43°0′18″N","71°26′24″W"
"Mount Sunapee Resort",,,,"43°19′50″N","72°04′48″W"
"Pats Peak",,,,"43°09′48″N","71°47′45″W"
"Ragged Mountain Resort",,,,"43°29′04″N","71°50′32″W"
"Tenney Mountain Ski Resort","43.73778°N 71.78361°W","43.73778","71.78361","43°44′16″N","71°47′01″W"
"The Balsams Grand Resort Hotel",,,,"44°52′14″N","71°18′28″W"
"Waterville Valley Resort",,,,"43°57′55″N","71°31′40″W"
"Whaleback (ski area)",,,,"43°36′05″N","72°10′53″W"
"Wildcat Mountain Ski Area","44.26306°N 71.23833°W","44.26306","71.23833","44°15′47″N","71°14′18″W"
"Yawgoo Valley",,,,"41°31′01″N","71°31′46″W"
"Bolton Valley",,,,"44°25′11″N","72°51′00″W"
"Bromley Mountain","43.22778°N 72.93861°W","43.22778","72.93861","43°13′40″N","72°56′19″W"
"Burke Mountain (Vermont)",,,,"44°34.25′N","71°53.59′W"
"Skiing Cochrans",,,,"44°23′46″N","72°58′55″W"
"Jay Peak Resort","44.92944°N 72.53222°W","44.92944","72.53222","44°55′46″N","72°31′56″W"
"Killington Ski Resort",,,,"43°37′34″N","72°47′53″W"
"Mad River Glen","44.20083°N 72.92444°W","44.20083","72.92444","44°12′03″N","72°55′28″W"
"Middlebury College Snow Bowl","43.94°N 72.96°W","43.94","72.96","43°56′N","72°58′W"
"Mount Snow","42.959835°N 72.922161°W","42.959835","72.922161","42°57′35″N","72°55′20″W"
"Okemo Mountain",,,,"43°24′5″N","72°43′0″W"
"Pico Mountain",,,,"43°39′42″N","72°50′33″W"
"Plymouth Notch, Vermont",,,,"43°31′48″N","72°44′20″W"
"Quechee Ski Area",,,,"43°39′26″N","72°26′35″W"
"Smugglers' Notch Resort",,,,"44°34′22″N","72°46′34″W"
"Stowe Mountain Resort",,,,"44°31′55″N","72°47′15″W"
"Stratton Mountain Resort",,,,"43°06′51″N","72°54′24″W"
"Sugarbush Resort","44.135098°N 72.885962°W","44.135098","72.885962","44°08′06″N","72°53′09″W"
"Suicide Six",,,,"43°39′50″N","72°32′40″W"
"Wisp Ski Resort",,,,"39°33′29″N","79°21′47″W"
"Big Snow American Dream","40.81111°N 74.07000°W","40.81111","74.07000","40°48′40″N","74°04′12″W"
"Campgaw Mountain","41.0542633°N 74.1993123°W","41.0542633","74.1993123","41°03′15″N","74°11′58″W"
"Hidden Valley (New Jersey)","41.1856000°N 74.4806000°W","41.1856000","74.4806000","41°11′8.16″N","74°28′50.16″W"
"Mountain Creek","41.181°N 74.513°W","41.181","74.513","41°10′52″N","74°30′47″W"
"Belleayre Ski Center","42.1422139°N 74.510778°E","42.1422139",,"42°8′31.97″N","74°30′38.8″E"
"Bristol Mountain Ski Resort","42.745°N 77.404444°W","42.745","77.404444","42°44′42″N","77°24′16″W"
"Catamount Ski Area",,,,"42°10′17″N","73°28′40″W"
"Gore Mountain (ski resort)","43.67222°N 74.00694°W","43.67222","74.00694","43°40′20″N","74°00′25″W"
"Greek Peak Mountain Resort",,,,"42°30′31″N","76°08′46″W"
"Holiday Valley (ski resort)","42.26250°N 78.66806°W","42.26250","78.66806","42°15′45″N","78°40′5″W"
"Hunter Mountain (ski area)",,,,"42°12′01″N","74°13′49″W"
"McCauley Mountain (New York)","43.6925676°N 74.9612837°W","43.6925676","74.9612837","43°41′33″N","74°57′41″W"
"Peek'n Peak","42.06250°N 79.73667°W","42.06250","79.73667","42°3′45″N","79°44′12″W"
"Plattekill Mountain",,,,"42°17′25″N","74°39′13″W"
"Thunder Ridge Ski Area",,,,"41°30′26″N","73°34′52″W"
"Titus Mountain",,,,"44°45′48″N","74°14′07″W"
"West Mountain (ski area)","43.28556°N 73.72833°W","43.28556","73.72833","43°17′8″N","73°43′42″W"
"Whiteface Mountain","44.36583°N 73.90278°W","44.36583","73.90278","44°21′57″N","73°54′10″W"
"Windham Mountain",,,,"42°17′30″N","74°15′34″W"
"Bear Creek Ski and Recreation Area","40.47611°N 75.62583°W","40.47611","75.62583","40°28′34″N","75°37′33″W"
"Blue Mountain Resort","40.82222°N 75.51333°W","40.82222","75.51333","40°49′20″N","75°30′48″W"
"Boyce Park","40.46556°N 79.74528°W","40.46556","79.74528","40°27′56″N","79°44′43″W"
"Camelback Mountain Resort",,,,"41°03′05″N","75°21′19″W"
"Elk Mountain Ski Area","41.721°N 75.559°W","41.721","75.559","41°43′16″N","75°33′32″W"
"Hidden Valley Resort (Pennsylvania)","40.058042°N 79.258277°W","40.058042","79.258277","40°03′29″N","79°15′30″W"
"Jack Frost Ski Resort",,,,"41°06′40″N","75°39′07″W"
"Laurel Mountain Ski Resort",,,,,
"Liberty Mountain Resort","39.763500°N 77.37500°W","39.763500","77.37500","39°45′48.6″N","77°22′30″W"
"Mount Pleasant of Edinboro",,,,"41°51′04″N","80°04′13″W"
"Seven Springs Mountain Resort",,,,"40°1′23″N","79°17′34″W"
"Shawnee Mountain Ski Area","41.04083°N 75.08333°W","41.04083","75.08333","41°2′27″N","75°5′0″W"
"Ski Big Bear",,,,"41°31′24″N","75°01′30″W"
"Roundtop Mountain Resort",,,,"40°06′29″N","76°55′34″W"
"Spring Mountain District AVA",,,,,
"Montage Mountain Ski Resort",,,,"41°21′12″N","75°39′33″W"
"Tussey Mountain Ski Area",,,,"40°46′06″N","77°45′07″W"
"Whitetail Ski Resort","39.74167°N 77.93278°W","39.74167","77.93278","39°44′30″N","77°55′58″W"
"Appalachian Ski Mountain","36.174°N 81.662°W","36.174","81.662","36°10′26″N","81°39′43″W"
"Cataloochee Ski Area","35.563°N 83.090°W","35.563","83.090","35°33′47″N","83°05′24″W"
"Wolf Ridge Ski Resort","35.955°N 82.509°W","35.955","82.509","35°57′18″N","82°30′32″W"
"Ober Gatlinburg",,,,"35°42′32″N","83°31′18″W"
"Bryce Resort","38.81750°N 78.76583°W","38.81750","78.76583","38°49′03″N","78°45′57″W"
"Massanutten Mountain",,,,"38°38′34.9″N","78°36′43.3″W"
"Wintergreen Resort",,,,"37°55′48″N","78°56′30″W"
"Canaan Valley Resort State Park",,,,"39°01′25″N","79°27′57″W"
"Snowshoe Mountain",,,,"38°24′32″N","79°59′41″W"
"Winterplace Ski Resort","37.59000°N 81.11500°W","37.59000","81.11500","37°35′24″N","81°06′54″W"
"Chestnut Mountain",,,,,
"Ski Snowstar",,,,"41°25′30″N","90°44′38″W"
"Paoli Peaks",,,,"38°33′28″N","86°30′37″W"
"Perfect North Slopes","39.149208°N 84.886581°W","39.149208","84.886581","39°08′57″N","84°53′12″W"
"Big Powderhorn Mountain",,,,"46°30′15″N","90°05′46″W"
"Blackjack Ski Resort (Bessemer, Michigan)",,,,"46°30′08″N","90°00′17″W"
"Boyne Highlands",,,,"45°28′15″N","84°56′05″W"
"Mohawk Mountain Ski Area","41.83675°N 73.31342°W","41.83675","73.31342","41°50′12″N","73°18′48″W"
"Mount Southington","41.58235°N 72.92587°W","41.58235","72.92587","41°34′56″N","72°55′33″W"
"Powder Ridge Ski Area","41.502006°N 72.737172°W","41.502006","72.737172","41°30′07″N","72°44′14″W"
"Ski Sundown",,,,"41°53′03″N","72°56′43″W"
"Baker Mountain (ski area)","45.08472°N 69.90556°W","45.08472","69.90556","45°5′5″N","69°54′20″W"
"Big Rock (ski resort)",,,,"46°31′20″N","67°49′40″W"
"Big Squaw Mountain Resort",,,,"45°30′15″N","69°42′20″W"
"Black Mountain of Maine","44.58000°N 70.61750°W","44.58000","70.61750","44°34′48″N","70°37′3″W"
"Camden Snow Bowl","44.217216°N 69.134667°W","44.217216","69.134667","44°13′02″N","69°08′05″W"
"Eaton Mountain",,,,"44°46′5″N","69°37′10″W"
"Lonesome Pine Trails",,,,"47°13′58″N","68°35′35″W"
"Lost Valley Ski Area",,,,"44°08′10″N","70°16′52″W"
"Ski Mount Abram",,,,"44°22′45″N","70°42′25″W"
"Powderhouse Hill (ski area)",,,,"43°14′13″N","70°48′8″W"
"Saddleback Maine (ski resort)",,,,"44°56′12″N","070°30′11″W"
"Shawnee Peak Ski Area",,,,"44°3′30″N","70°48′55″W"
"Sugarloaf (ski resort)",,,,"45°01′53″N","70°18′47″W"
"Sunday River (ski resort)","44.46944°N 70.86111°W","44.46944","70.86111","44°28′10″N","70°51′40″W"
"Titcomb Mountain",,,,"44°39′0″N","70°10′15″W"
"Berkshire East Ski Resort",,,,"42°37′15″N","72°52′37″W"
"Blandford Ski Area",,,,"42°11′19.865″N","72°54′2.765″W"
"Blue Hills Ski Area",,,,"42°12′55″N","71°07′09″W"
"Bousquet Ski Area",,,,"42°24′58″N","73°16′45″W"
"Ski Butternut",,,,"42°10′41″N","73°19′01″W"
"Easton Ski Area",,,,"42°32′19″N","72°35′38″W"
"Jiminy Peak (ski area)",,,,"42°33′03″N","73°17′27″W"
"Nashoba Valley Ski Area","42.5419750°N 71.4441028°W","42.5419750","71.4441028","42°32′31.11″N","71°26′38.77″W"
"Otis Ridge",,,,"42°11′47″N","73°05′56″W"
"Ski Bradford",,,,"42°44′37″N","71°03′32″W"
"Ski Ward","42.30556°N 71.67500°W","42.30556","71.67500","42°18′20″N","71°40′30″W"
"Wachusett Mountain (ski area)",,,,"42°29′58″N","71°53′11″W"
"Arrowhead Recreation Area",,,,"43°21′46″N","72°20′00″W"
"Attitash Mountain Resort","44.08222°N 71.22972°W","44.08222","71.22972","44°04′56″N","71°13′47″W"
"Black Mountain Ski Area (New Hampshire)","44.16833°N 71.16444°W","44.16833","71.16444","44°10′6″N","71°9′52″W"
"Bretton Woods Mountain Resort",,,,"44°15′35″N","71°27′44″W"
"Cannon Mountain Ski Area",,,,"44°09′28″N","71°41′56″W"
"Cranmore Mountain Resort",,,,"44°03′23″N","71°06′36″W"
"Crotched Mountain","42.998294108°N 71.873712297°W","42.998294108","71.873712297","42°59′54″N","71°52′25″W"
"Dartmouth Skiway",,,,"43°47′12″N","72°26′2″W"
"Granite Gorge Ski Area","42.97083°N 72.21222°W","42.97083","72.21222","42°58′15″N","72°12′44″W"
"Gunstock Mountain Resort",,,,"43°32′29″N","71°22′03″W"
"King Pine",,,,"43°52′17″N","71°05′22″W"
"Loon Mountain",,,,"44°02′09″N","71°37′17″W"
"McIntyre Ski Area",,,,"43°0′18″N","71°26′24″W"
"Mount Sunapee Resort",,,,"43°19′50″N","72°04′48″W"
"Pats Peak",,,,"43°09′48″N","71°47′45″W"
"Ragged Mountain Resort",,,,"43°29′04″N","71°50′32″W"
"Tenney Mountain Ski Resort","43.73778°N 71.78361°W","43.73778","71.78361","43°44′16″N","71°47′01″W"
"The Balsams Grand Resort Hotel",,,,"44°52′14″N","71°18′28″W"
"Waterville Valley Resort",,,,"43°57′55″N","71°31′40″W"
"Whaleback (ski area)",,,,"43°36′05″N","72°10′53″W"
"Wildcat Mountain Ski Area","44.26306°N 71.23833°W","44.26306","71.23833","44°15′47″N","71°14′18″W"
"Yawgoo Valley",,,,"41°31′01″N","71°31′46″W"
"Bolton Valley",,,,"44°25′11″N","72°51′00″W"
"Bromley Mountain","43.22778°N 72.93861°W","43.22778","72.93861","43°13′40″N","72°56′19″W"
"Burke Mountain (Vermont)",,,,"44°34.25′N","71°53.59′W"
"Skiing Cochrans",,,,"44°23′46″N","72°58′55″W"
"Jay Peak Resort","44.92944°N 72.53222°W","44.92944","72.53222","44°55′46″N","72°31′56″W"
"Killington Ski Resort",,,,"43°37′34″N","72°47′53″W"
"Mad River Glen","44.20083°N 72.92444°W","44.20083","72.92444","44°12′03″N","72°55′28″W"
"Middlebury College Snow Bowl","43.94°N 72.96°W","43.94","72.96","43°56′N","72°58′W"
"Mount Snow","42.959835°N 72.922161°W","42.959835","72.922161","42°57′35″N","72°55′20″W"
"Okemo Mountain",,,,"43°24′5″N","72°43′0″W"
"Pico Mountain",,,,"43°39′42″N","72°50′33″W"
"Plymouth Notch, Vermont",,,,"43°31′48″N","72°44′20″W"
"Quechee Ski Area",,,,"43°39′26″N","72°26′35″W"
"Smugglers' Notch Resort",,,,"44°34′22″N","72°46′34″W"
"Stowe Mountain Resort",,,,"44°31′55″N","72°47′15″W"
"Stratton Mountain Resort",,,,"43°06′51″N","72°54′24″W"
"Sugarbush Resort","44.135098°N 72.885962°W","44.135098","72.885962","44°08′06″N","72°53′09″W"
"Suicide Six",,,,"43°39′50″N","72°32′40″W"
"Wisp Ski Resort",,,,"39°33′29″N","79°21′47″W"
"Big Snow American Dream","40.81111°N 74.07000°W","40.81111","74.07000","40°48′40″N","74°04′12″W"
"Campgaw Mountain","41.0542633°N 74.1993123°W","41.0542633","74.1993123","41°03′15″N","74°11′58″W"
"Hidden Valley (New Jersey)","41.1856000°N 74.4806000°W","41.1856000","74.4806000","41°11′8.16″N","74°28′50.16″W"
"Mountain Creek","41.181°N 74.513°W","41.181","74.513","41°10′52″N","74°30′47″W"
"Belleayre Ski Center","42.1422139°N 74.510778°E","42.1422139",,"42°8′31.97″N","74°30′38.8″E"
"Bristol Mountain Ski Resort","42.745°N 77.404444°W","42.745","77.404444","42°44′42″N","77°24′16″W"
"Catamount Ski Area",,,,"42°10′17″N","73°28′40″W"
"Gore Mountain (ski resort)","43.67222°N 74.00694°W","43.67222","74.00694","43°40′20″N","74°00′25″W"
"Greek Peak Mountain Resort",,,,"42°30′31″N","76°08′46″W"
"Holiday Valley (ski resort)","42.26250°N 78.66806°W","42.26250","78.66806","42°15′45″N","78°40′5″W"
"Hunter Mountain (ski area)",,,,"42°12′01″N","74°13′49″W"
"McCauley Mountain (New York)","43.6925676°N 74.9612837°W","43.6925676","74.9612837","43°41′33″N","74°57′41″W"
"Peek'n Peak","42.06250°N 79.73667°W","42.06250","79.73667","42°3′45″N","79°44′12″W"
"Plattekill Mountain",,,,"42°17′25″N","74°39′13″W"
"Thunder Ridge Ski Area",,,,"41°30′26″N","73°34′52″W"
"Titus Mountain",,,,"44°45′48″N","74°14′07″W"
"West Mountain (ski area)","43.28556°N 73.72833°W","43.28556","73.72833","43°17′8″N","73°43′42″W"
"Whiteface Mountain","44.36583°N 73.90278°W","44.36583","73.90278","44°21′57″N","73°54′10″W"
"Windham Mountain",,,,"42°17′30″N","74°15′34″W"
"Bear Creek Ski and Recreation Area","40.47611°N 75.62583°W","40.47611","75.62583","40°28′34″N","75°37′33″W"
"Blue Mountain Resort","40.82222°N 75.51333°W","40.82222","75.51333","40°49′20″N","75°30′48″W"
"Boyce Park","40.46556°N 79.74528°W","40.46556","79.74528","40°27′56″N","79°44′43″W"
"Camelback Mountain Resort",,,,"41°03′05″N","75°21′19″W"
"Elk Mountain Ski Area","41.721°N 75.559°W","41.721","75.559","41°43′16″N","75°33′32″W"
